# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
100                 	DILUPBiCGStab	8.289727842100e-05	4.102619250520e-08	2	1.759753321250e-04	9.866656985230e-08	2	false	GAMGPCG	4.263813040400e-04	5.196913255730e-08	4	true
101                 	DILUPBiCGStab	7.804410991910e-05	3.861389887750e-08	2	1.656451149410e-04	9.285977879670e-08	2	false	GAMGPCG	4.013727624950e-04	4.894941599890e-08	4	true
102                 	DILUPBiCGStab	7.347287501380e-05	3.634241414390e-08	2	1.559157154110e-04	8.739300951850e-08	2	false	GAMGPCG	3.778132260670e-04	4.610382085240e-08	4	true
103                 	DILUPBiCGStab	6.916757987860e-05	3.420372836630e-08	2	1.467528168640e-04	8.224656896360e-08	2	false	GAMGPCG	3.556210778050e-04	4.342282376530e-08	4	true
104                 	DILUPBiCGStab	6.511275350380e-05	3.219025461830e-08	2	1.381240675220e-04	7.740188778730e-08	2	false	GAMGPCG	3.347221418450e-04	4.089615438200e-08	4	true
105                 	DILUPBiCGStab	6.129411533500e-05	3.029459481220e-08	2	1.299987471610e-04	7.284140479830e-08	2	false	GAMGPCG	3.150408170900e-04	3.851456553900e-08	4	true
106                 	DILUPBiCGStab	5.769806514770e-05	2.850995435790e-08	2	1.223479440790e-04	6.854899864880e-08	2	false	GAMGPCG	2.965055610100e-04	3.626953099710e-08	4	true
107                 	DILUPBiCGStab	5.431170523580e-05	2.682987481350e-08	2	1.151442945030e-04	6.450853102630e-08	2	false	GAMGPCG	2.790510629530e-04	3.415366268880e-08	4	true
108                 	DILUPBiCGStab	5.112291325060e-05	2.524825986220e-08	2	1.083620153340e-04	6.070532194810e-08	2	false	GAMGPCG	2.626154433140e-04	3.215984412060e-08	4	true
109                 	DILUPBiCGStab	4.812020230670e-05	2.375942131960e-08	2	1.019767197130e-04	5.712561244640e-08	2	false	GAMGPCG	2.471416727830e-04	3.028103504720e-08	4	true
110                 	DILUPBiCGStab	4.529282902100e-05	2.235796447410e-08	2	9.596545978610e-05	5.375629457740e-08	2	false	GAMGPCG	2.325733943750e-04	2.851035954540e-08	4	true
111                 	DILUPBiCGStab	4.263082933970e-05	2.103878093100e-08	2	9.030673592160e-05	5.058510812150e-08	2	false	GAMGPCG	2.188591183720e-04	2.684141431680e-08	4	true
112                 	DILUPBiCGStab	4.012449607410e-05	1.979708386980e-08	2	8.498029827520e-05	4.760041162190e-08	2	false	GAMGPCG	2.059485575220e-04	2.526841317130e-08	4	true
113                 	DILUPBiCGStab	3.776487182300e-05	1.862843038020e-08	2	7.996709043730e-05	4.479126814080e-08	2	false	GAMGPCG	1.937949385260e-04	2.378596443200e-08	4	true
114                 	DILUPBiCGStab	3.554346980840e-05	1.752855905260e-08	2	7.524837748170e-05	4.214746718310e-08	2	false	GAMGPCG	1.823544794560e-04	2.238903198190e-08	4	true
115                 	DILUPBiCGStab	3.345216274110e-05	1.649339204860e-08	2	7.080689431500e-05	3.965934602680e-08	2	false	GAMGPCG	1.715864458620e-04	2.107291989020e-08	4	true
116                 	DILUPBiCGStab	3.148337995020e-05	1.551913563090e-08	2	6.662649391840e-05	3.731769402290e-08	2	false	GAMGPCG	1.614514991220e-04	1.983317497320e-08	4	true
117                 	DILUPBiCGStab	2.962999774210e-05	1.460225290260e-08	2	6.269195568020e-05	3.511392650360e-08	2	false	GAMGPCG	1.519124733890e-04	1.866569313500e-08	4	true
118                 	DILUPBiCGStab	2.788530271290e-05	1.373942542180e-08	2	5.898905145780e-05	3.304000605880e-08	2	false	GAMGPCG	1.429349702220e-04	1.756581460850e-08	4	true
119                 	DILUPBiCGStab	2.624296794400e-05	1.292742178800e-08	2	5.550416884750e-05	3.108841635440e-08	2	false	GAMGPCG	1.344863247940e-04	1.652964650650e-08	4	true
120                 	DILUPBiCGStab	2.469702755300e-05	1.216326561570e-08	2	5.222451667910e-05	2.925193779010e-08	2	false	GAMGPCG	1.265351862400e-04	1.555365607950e-08	4	true
121                 	DILUPBiCGStab	2.324185960920e-05	1.144415262680e-08	2	4.913811265360e-05	2.752368677250e-08	2	false	GAMGPCG	1.190525271090e-04	1.463440050520e-08	4	true
122                 	DILUPBiCGStab	2.187221959790e-05	1.076745413520e-08	2	4.623361177850e-05	2.589730643710e-08	2	false	GAMGPCG	1.120115157300e-04	1.376861343880e-08	4	true
123                 	DILUPBiCGStab	2.058310985320e-05	1.013067991040e-08	2	4.350037797570e-05	2.436681441790e-08	2	false	GAMGPCG	1.053856680350e-04	1.295340601930e-08	4	true
124                 	DILUPBiCGStab	1.936976576820e-05	9.531496767300e-09	2	4.092843182500e-05	2.292657397820e-08	2	false	GAMGPCG	9.915066989870e-05	1.218579703320e-08	4	true
125                 	DILUPBiCGStab	1.822777506130e-05	8.967680566000e-09	2	3.850826637510e-05	2.157130685980e-08	2	false	GAMGPCG	9.328361478220e-05	1.146292945870e-08	4	true
126                 	DILUPBiCGStab	1.715296560960e-05	8.437153867680e-09	2	3.623096652440e-05	2.029599512660e-08	2	false	GAMGPCG	8.776291963380e-05	1.078229953960e-08	4	true
127                 	DILUPBiCGStab	1.614138176760e-05	7.937951857060e-09	2	3.408811829730e-05	1.909592618910e-08	2	false	GAMGPCG	8.256826239570e-05	1.014148234030e-08	4	true
128                 	DILUPBiCGStab	1.518932797590e-05	7.468232064280e-09	2	3.207184839940e-05	1.796667194760e-08	2	false	GAMGPCG	7.768084785000e-05	9.538232662160e-09	4	true
129                 	DILUPBiCGStab	1.429337523300e-05	7.026256962040e-09	2	3.017466784470e-05	1.690408032670e-08	2	false	GAMGPCG	7.308241420220e-05	8.970376514690e-09	4	true
130                 	DILUPBiCGStab	1.345018751960e-05	6.610391589100e-09	2	2.838954949310e-05	1.590422302820e-08	2	false	GAMGPCG	6.875575217740e-05	8.435875179150e-09	4	true
131                 	DILUPBiCGStab	1.265664347480e-05	6.219098735260e-09	2	2.670990622580e-05	1.496339067200e-08	2	false	GAMGPCG	6.468487722580e-05	7.932762197790e-09	4	true
132                 	DILUPBiCGStab	1.190985465260e-05	5.850933851330e-09	2	2.512958614680e-05	1.407810768990e-08	2	false	GAMGPCG	6.085472336410e-05	7.459206513190e-09	4	true
133                 	DILUPBiCGStab	1.120705017430e-05	5.504564571690e-09	2	2.364266189050e-05	1.324513603860e-08	2	false	GAMGPCG	5.725109534510e-05	7.013521459130e-09	4	true
134                 	DILUPBiCGStab	1.054564793560e-05	5.178673991470e-09	2	2.224363103210e-05	1.246136102330e-08	2	false	GAMGPCG	5.386063881130e-05	6.594162335310e-09	4	true
135                 	DILUPBiCGStab	9.923216540060e-06	4.872054779430e-09	2	2.092731013210e-05	1.172387999900e-08	2	false	GAMGPCG	5.067078216150e-05	6.199530041200e-09	4	true
136                 	DILUPBiCGStab	9.337466583260e-06	4.583568937410e-09	2	1.968882001130e-05	1.102996790300e-08	2	false	GAMGPCG	4.766969307170e-05	5.828275192600e-09	4	true
137                 	DILUPBiCGStab	8.786242433070e-06	4.312148405330e-09	2	1.852358599760e-05	1.037706832840e-08	2	false	GAMGPCG	4.484622280150e-05	5.479006859810e-09	4	true
138                 	DILUPBiCGStab	8.267515147550e-06	4.056781248060e-09	2	1.742729470030e-05	9.762752187330e-09	2	false	GAMGPCG	4.218988319370e-05	5.150414403010e-09	4	true
139                 	DILUPBiCGStab	7.779401825170e-06	3.816521400030e-09	2	1.639588606820e-05	9.184741395680e-09	2	false	GAMGPCG	3.969082316920e-05	4.841279936220e-09	4	true
140                 	DILUPBiCGStab	7.320071534840e-06	3.590475546570e-09	2	1.542551155820e-05	8.640899888220e-09	2	false	GAMGPCG	3.733996757460e-05	4.550474310800e-09	4	true
141                 	DILUPBiCGStab	6.887830176990e-06	3.377804550670e-09	2	1.451253890070e-05	8.129205254840e-09	2	false	GAMGPCG	3.512830367630e-05	4.276931885690e-09	4	true
142                 	DILUPBiCGStab	6.481083643790e-06	3.177719476310e-09	2	1.365359873500e-05	7.647761444990e-09	2	false	GAMGPCG	3.304759440200e-05	4.019650466650e-09	4	true
143                 	DILUPBiCGStab	6.098331290140e-06	2.989483786280e-09	2	1.284549037530e-05	7.194784046340e-09	2	false	GAMGPCG	3.109009691820e-05	3.777681709700e-09	4	true
144                 	DILUPBiCGStab	5.738160396540e-06	2.812389640090e-09	2	1.208519394230e-05	6.768593220830e-09	2	false	GAMGPCG	2.924852441400e-05	3.550131184850e-09	4	true
145                 	DILUPBiCGStab	5.399241158980e-06	2.645778271370e-09	2	1.136988612520e-05	6.367608322110e-09	2	false	GAMGPCG	2.751601939860e-05	3.336158363120e-09	4	true
